meeting;uncertainty
2005_02_1.txt;5
2005_02_2.txt;6
2005_02_3.txt;5
2005_02_4.txt;4
2005_03_1.txt;5
2005_03_2.txt;6
2005_03_3.txt;5
2005_03_4.txt;3
2005_05_1.txt;4
2005_05_2.txt;7
2005_05_3.txt;7
2005_05_4.txt;1
2005_08_1.txt;4
2005_08_2.txt;4
2005_08_3.txt;5
2005_08_4.txt;6
2005_09_1.txt;5
2005_09_2.txt;7
2005_09_3.txt;7
2005_11_1.txt;7
2005_11_2.txt;4
2005_11_3.txt;3
2005_11_4.txt;2
2005_12_1.txt;3
2005_12_2.txt;4
2005_12_3.txt;3
2006_01_1.txt;4
2006_01_2.txt;6
2006_01_3.txt;6
2006_01_4.txt;4
2006_03_1.txt;5
2006_03_2.txt;6
2006_03_3.txt;5
2006_03_4.txt;4
2006_05_1.txt;7
2006_05_2.txt;4
2006_05_3.txt;8
2006_05_4.txt;7
2006_06_1.txt;5
2006_06_2.txt;5
2006_06_3.txt;3
2006_06_4.txt;3
2006_08_1.txt;1
2006_08_2.txt;4
2006_08_3.txt;1
2006_08_4.txt;2
2006_09_1.txt;4
2006_09_2.txt;6
2006_09_3.txt;5
2006_09_4.txt;5
2006_10_1.txt;5
2006_10_2.txt;5
2006_10_3.txt;6
2006_10_4.txt;8
2006_12_1.txt;5
2006_12_2.txt;3
2006_12_3.txt;8
2006_12_4.txt;7
2007_01_1.txt;5
2007_01_2.txt;2
2007_01_3.txt;7
2007_01_4.txt;6
2007_03_1.txt;9
2007_03_2.txt;4
2007_03_3.txt;4
2007_03_4.txt;7
2007_05_1.txt;4
2007_05_2.txt;6
2007_05_3.txt;4
2007_05_4.txt;5
2007_06_1.txt;4
2007_06_2.txt;9
2007_06_3.txt;4
2007_06_4.txt;6
2007_08_1.txt;4
2007_08_2.txt;8
2007_08_3.txt;3
2007_08_4.txt;3
2007_08a_1.txt;3
2007_09_1.txt;6
2007_09_2.txt;6
2007_09_3.txt;2
2007_09_4.txt;5
2007_09_5.txt;5
2007_10_1.txt;3
2007_10_2.txt;7
2007_10_3.txt;6
2007_10_4.txt;7
2007_11_1.txt;7
2007_11_2.txt;8
2007_11_3.txt;4
2007_11_4.txt;7
